id_str,from_user,time,text,Target,hashtags
519533622617845760,DarioMolaro,07/10/2014 18:04:02,"https://t.co/XKjHZnQ07a
#EbolaEnFranceLe24Octobre
#RencNum
#showeb2rentree2014
#motscroisés
#LeMag", ," #EbolaEnFranceLe24Octobre
#RencNum
#showeb2rentree2014
#motscroisés
#LeMag"
519533237241405440,meribs,07/10/2014 18:02:30,"#RencNum en irl et lt de très beaux sujets, bcp de passion, de partage qui donnent des idées !  Merci @MuzeoNum  @TMNlab @MinistereCC", @MuzeoNum @TMNlab @MinistereCC,#RencNum 
519532638592176128,celinesalvetat,07/10/2014 18:00:08,"RT @antoninGS: Protestantisme et co-voiturage; mais aussi ticket suspendu, super-accueil des publics au @MusJeanneAlbret http://t.co/bmKSOm…", @antoninGS @MusJeanneAlbret , 
519532612457889792,MentaphoneFr,07/10/2014 18:00:01,#RencNum #Bastia http://t.co/gFWcwo2iRk Question: Qu'est-ce que Mentaphone pour toi ?, ,#RencNum #Bastia 
519532332940673024,sebdaniel,07/10/2014 17:58:55,"RT @flovielfaure: #RencNum échanges, bonnes pratiques,réseaux : encore un succès merci au @centrepompidou , @MuzeoNum , @TMNlab et à tous c…", @flovielfaure @centrepompidou @MuzeoNum @TMNlab , #RencNum 
519532236966600704,TMNlab,07/10/2014 17:58:32,"RT @flovielfaure: #RencNum échanges, bonnes pratiques,réseaux : encore un succès merci au @centrepompidou , @MuzeoNum , @TMNlab et à tous c…", @flovielfaure @centrepompidou @MuzeoNum @TMNlab , #RencNum 
519532201109897216,Lilmount,07/10/2014 17:58:23,RT @gillesduffau: L'humour dans la communication des musées américains. http://t.co/juuBNC2aYX #mw2013 #RencNum, @gillesduffau , #mw2013 #RencNum
519532077499572224,noemiebreen,07/10/2014 17:57:54,Merci à toute l'équipe @MinistereCC pour cette matinée passionnante  #RencNum, @MinistereCC , #RencNum
519531955851755521,JulieArtGeek,07/10/2014 17:57:25,RT @CultureTime_: Nuit des étudiants  @Museesdangers: on peut tout faire au musée #suspens #participatif le 27/11 #RencNum #muzeonum http:/…, @CultureTime_ @Museesdangers , #suspens #participatif #RencNum #muzeonum 
519530741932490753,Museesdangers,07/10/2014 17:52:35,RT @CultureTime_: Nuit des étudiants  @Museesdangers: on peut tout faire au musée #suspens #participatif le 27/11 #RencNum #muzeonum http:/…, @CultureTime_ @Museesdangers , #suspens #participatif #RencNum #muzeonum 
519530727033958400,dasmtweets,07/10/2014 17:52:32,"RT @flovielfaure: #RencNum échanges, bonnes pratiques,réseaux : encore un succès merci au @centrepompidou , @MuzeoNum , @TMNlab et à tous c…", @flovielfaure @centrepompidou @MuzeoNum @TMNlab , #RencNum 
519530631009935360,Museesdangers,07/10/2014 17:52:09,RT @louvrepourtous: #RencNum Les @Museesdangers en ligne par @JulieArtGeek #muzeonum http://t.co/UIBl4PRlKW, @louvrepourtous @Museesdangers @JulieArtGeek , #RencNum #muzeonum 
